lat@hdr,lon@hdr
56.137600,86.503395
56.444702,84.766495
56.701500,83.153404
56.923798,81.604599
57.471901,76.854904
57.924603,70.612595
54.292400,91.890099
54.822903,90.342201
55.855301,85.291595
56.757401,79.039795
56.929302,77.458000
55.682602,83.342896
53.257202,69.224800
53.367397,66.553001
53.408001,64.899101
52.244499,76.051102
52.390198,74.591499
51.056202,81.380501
51.273399,79.948502
52.064899,72.834206
52.197098,71.062698
52.322701,68.967804
48.762897,62.299801
44.606197,88.694801
47.759399,73.087105
47.935600,70.629799
47.996201,69.789902
45.077602,86.385101
46.400898,79.765396
47.646797,67.756096
47.799103,63.921803
47.829700,62.171402
44.637802,86.120895
45.945499,79.548401
46.273003,77.123695
46.482903,75.698502
-52.524902,-115.055199
-52.198402,-113.230995
-51.342300,-109.065399
-49.846203,-103.762505
-48.883400,-100.710701
-53.632698,-129.103790
-53.532700,-127.196396
-53.190998,-123.001900
-52.263798,-116.416199
-50.966602,-109.914505
-50.069401,-106.379196
-48.989700,-102.678696
-52.543697,-122.375900
-52.336502,-120.465904
-52.145203,-118.550995
-51.288601,-113.695206
-51.007298,-112.344696
-50.329502,-109.387794
-50.042297,-107.871201
-45.494602,-106.650505
-44.625797,-103.785095
-47.858101,-119.618500
-47.646698,-118.079704
-47.223900,-115.808395
-46.464199,-112.339806
-45.374798,-108.051300
-44.671303,-105.605896
-47.954201,-123.420799
-47.732800,-121.716301
-46.957798,-117.019699
-45.439301,-110.220901
-44.615498,-107.173195
-47.826900,-126.811005
-47.600098,-124.513802
-42.336800,-116.290504
-41.919098,-114.418304
-41.169903,-111.358505
-39.846901,-106.650795
-43.625698,-127.673996
-43.399799,-125.547195
-43.182400,-123.837502
-42.118401,-117.621605
-40.936302,-112.423805
-39.836998,-108.337204
-43.141003,-129.419800
-41.288700,-116.055901
-37.847202,-118.544205
-37.608601,-117.433601
-36.417400,-112.459496
-39.072502,-129.818604
-38.550602,-126.038895
-37.910000,-121.361801
-37.707397,-120.293594
-36.733498,-115.769798
-36.393200,-114.349602
-35.609100,-110.725204
-34.991501,-109.104599
-38.728001,-131.337601
-37.741898,-123.195305
-36.558502,-117.181404
-35.512302,-112.839699
-37.903000,-127.750999
-30.973501,-110.873405
-34.530300,-132.008911
-34.400898,-130.653702
-33.836002,-126.164505
-33.250500,-122.702599
-33.056400,-121.694305
-32.136200,-117.411598
-31.818600,-116.062500
-30.884401,-112.375404
-33.751801,-132.796692
-33.266899,-125.619202
-33.070999,-124.429405
-32.284901,-120.330894
-31.941301,-118.743401
-30.965101,-114.614494
-30.722000,-113.658699
-33.466103,-130.821411
-33.111603,-127.860695
-33.003902,-127.088402
-32.025803,-121.467606
-28.486599,-123.466400
-28.198801,-122.036705
-27.218300,-117.610100
-26.847500,-116.059700
-28.584301,-126.722801
-28.297901,-125.066605
-27.053400,-119.043205
-25.565899,-112.967705
-28.541601,-129.671097
-28.251900,-128.334900
-26.954401,-120.826500
-25.929499,-116.364204
-25.439001,-114.389999
40.762100,85.556099
43.239403,70.229996
43.376900,67.668304
43.488598,65.717400
43.541500,64.550400
40.320297,85.317406
39.877899,85.082802
40.676903,81.469002
38.747402,65.685196
38.802998,64.728699
38.958401,60.874500
38.006599,69.222305
38.443199,62.300400
37.699398,67.097595
37.754200,66.325806
33.105103,70.321205
32.053101,74.803101
32.220200,73.630501
33.294502,61.397800
28.165499,71.321396
28.334400,69.858604
28.485800,68.402405
26.820099,77.020905
28.315300,64.936798
28.426100,63.484398
25.935999,79.099495
26.516500,75.976295
26.861900,73.809395
27.030201,72.626205
27.231800,71.058701
-63.306000,-82.372604
-62.308002,-91.271706
-60.453697,-87.675896
-63.338802,-98.304001
-62.714302,-96.031395
-61.356503,-90.096199
-63.431400,-100.852104
-61.305202,-91.637299
-64.664200,-109.728294
-61.198097,-113.239395
-60.128700,-107.289001
-59.345398,-103.822601
-57.728500,-96.278198
-56.244698,-93.554405
-61.474899,-120.671394
-61.286900,-117.636696
-60.166702,-110.084496
-58.138798,-101.220505
-60.423798,-114.712296
-60.008499,-112.044495
-59.242500,-107.981499
-58.885403,-106.334206
-58.142597,-102.920898
-54.671898,-105.786995
-53.357002,-100.176399
-52.212097,-97.833305
-57.076202,-122.076195
-54.528297,-107.638405
-53.729202,-104.095200
-53.422600,-102.945305
-56.682899,-124.832901
-55.819298,-117.292900
-55.473301,-114.901405
-54.769699,-111.008598
-54.449802,-109.523994
-53.655098,-106.201698
-51.956699,-100.303505
-55.861099,-121.000595
-55.618603,-118.968201
-14.691199,57.969402
-14.517200,56.495399
-14.374900,55.373398
-16.195900,68.588402
-15.932401,65.608505
-15.914400,64.353699
