lat@hdr,lon@hdr
-6.642800,-21.343199
-6.847200,-113.330399
-6.974100,-27.684000
-6.994300,-26.364101
-7.038700,-23.548700
-7.076300,-21.245800
-7.412200,-26.951300
-7.434400,-25.599400
-7.483400,-22.705101
-7.602500,-107.122398
-8.006701,-106.254799
-8.467999,-109.564201
-8.454300,-108.612206
-8.422600,-106.299995
-8.819400,-20.786001
-9.208799,-127.174904
-8.852301,-107.263504
-8.826900,-105.445404
-9.231299,-104.602295
-12.903601,-51.521099
-12.938001,-49.424103
-13.650499,-114.048004
-13.333500,-99.113396
-13.312400,-52.295097
-13.339499,-50.634598
-13.902599,-43.511898
-14.174601,-98.807899
-14.160299,-97.976799
-14.203899,-49.671303
-15.005099,-97.675995
-14.990800,-96.851799
-14.927600,-57.330097
-15.042500,-50.395901
-16.069300,-107.102402
-16.470299,-105.783600
-16.458500,-105.318405
-16.262201,-96.202599
-16.133001,-63.014698
-16.630701,-38.493500
-16.908400,-105.879601
-16.671501,-95.035301
-20.473900,-63.035999
-20.490099,-61.856197
-20.507900,-60.667000
-20.527500,-59.467503
-20.563799,-57.442200
-21.158499,-37.029499
-21.202301,-35.908001
-21.374500,-31.734701
-21.429901,-30.457100
-20.967600,-90.356300
-21.539700,-39.033897
-21.716799,-34.562000
-21.934801,-29.557800
-21.965700,-28.882301
-21.408800,-90.010101
-21.359800,-63.344101
-21.376400,-62.158100
-21.394701,-60.962997
-22.047600,-37.780800
-22.382599,-29.974600
-21.879700,-58.886101
-22.452099,-39.232800
-22.662199,-34.148701
-22.715801,-32.933598
-22.743700,-32.311897
-22.348700,-58.000298
-22.744501,-88.969200
-22.706900,-63.607201
-22.724300,-62.409599
-22.743500,-61.202801
-22.757399,-60.392597
-22.779900,-59.167999
-23.417700,-38.330402
-23.647800,-33.088600
-23.608900,-64.313911
-23.645000,-61.900600
-23.666000,-60.679703
-23.714201,-58.203598
-23.781500,-55.245701
-24.080400,-63.464199
-24.143200,-59.793697
-24.235699,-55.586700
-29.219799,-74.884605
-29.221401,-73.651199
-29.390400,-60.222603
-31.539501,-116.675499
-30.213900,-74.051300
-30.215801,-73.219200
-30.764599,-67.312302
-31.222900,-74.039604
-31.226400,-72.775810
-31.732700,-74.880699
-31.886400,-61.537598
-32.387302,-87.849899
-32.247803,-74.879799
-32.249599,-73.600410
-32.254200,-72.319611
-32.416500,-60.997700
-34.105400,-115.200096
-32.963898,-59.991398
-34.589703,-114.254005
-33.296600,-72.715698
-33.820900,-74.877106
-35.421303,-109.887505
-34.356300,-76.191811
-34.355198,-75.314606
-34.356102,-73.999001
-34.358498,-73.121399
-34.510700,-61.965000
-34.533302,-61.044502
-34.583298,-59.183903
-43.803402,-75.876595
-45.145000,-75.899399
39.427200,-98.334702
37.654301,-124.653099
37.721302,-121.792900
37.747498,-120.826996
38.719101,-100.089600
38.805000,-98.776405
38.850002,-98.105499
37.160999,-121.433495
36.519699,-124.831902
36.619900,-120.600494
36.647198,-119.642502
36.740997,-116.719795
36.813900,-114.723900
37.548500,-100.231400
37.629803,-98.948006
37.716000,-97.627899
36.031601,-148.494797
35.970898,-124.455605
35.325001,-131.745010
35.529697,-119.899200
35.557102,-118.951401
35.601700,-117.514900
35.650700,-116.058601
35.704201,-114.580200
36.332897,-101.560104
36.405899,-100.334801
36.482998,-99.077896
35.790600,-101.286705
35.900299,-99.443001
34.475201,-118.737099
34.549500,-116.364899
35.288799,-100.404099
35.439800,-97.904396
33.771603,-144.042892
34.688000,-101.324600
33.361401,-149.796600
33.191799,-130.540710
33.208500,-128.802399
33.455997,-117.119095
33.624702,-112.306305
34.229603,-99.840698
32.969299,-115.843399
33.017597,-114.416801
33.052097,-113.453094
33.576000,-101.915596
33.639900,-100.748100
32.423901,-153.704498
32.395798,-152.776901
32.259502,-147.360321
32.174202,-142.126511
32.164497,-141.265793
32.138702,-137.843399
32.427200,-116.447395
32.457100,-115.511200
32.505302,-114.089401
32.539600,-113.128899
31.848799,-151.742203
31.635801,-130.629303
26.524900,-114.239204
25.956800,-117.819099
25.967001,-117.391205
26.010399,-115.661995
26.046000,-114.345299
26.071400,-113.457001
25.455599,-119.169800
24.977400,-119.661201
25.097500,-114.547295
25.121399,-113.669304
25.146500,-112.782700
24.494900,-120.557495
24.545700,-118.060905
24.574400,-116.792496
24.594900,-115.938400
23.900600,-137.210297
24.003300,-122.251900
24.139101,-115.597404
23.570700,-120.682594
23.585800,-119.863701
23.610199,-118.625404
