lat@hdr,lon@hdr
-16.326231,47.783028
-16.340229,46.393528
-17.074930,43.523220
-16.374460,43.582027
-17.085321,42.809040
-16.394890,42.156693
-17.107851,41.369473
-16.417410,40.716141
-17.222809,35.424030
-17.240170,34.655010
-16.515171,35.523670
-16.548880,33.987392
-16.566729,33.208820
-16.689991,28.362871
-16.152359,91.610886
-15.434879,91.442375
-15.768300,76.136154
-14.941720,47.856037
-14.968850,45.089939
-15.003680,42.277439
-15.046411,39.405319
-15.755091,38.601353
-15.058490,38.676090
-15.071031,37.941998
-15.796619,36.372379
-15.097890,36.457649
-15.896689,31.744120
-15.915811,30.946220
-15.935610,30.139690
-15.210890,31.059710
-14.696620,90.383095
-13.561290,49.280750
-14.260509,47.204357
-14.266740,46.516808
-13.610129,43.786972
-14.304541,43.038193
-14.322889,41.623947
-13.654719,40.254852
-13.664980,39.536438
-14.402670,36.538387
-13.698750,37.352680
-12.920290,44.524540
-12.927441,43.831070
-12.942969,42.434452
-12.969440,40.312057
-12.979179,39.596340
-12.287210,40.365772
-12.999980,38.151142
-13.011061,37.421158
-10.846251,52.039352
-11.558229,45.286610
-10.884561,45.318993
-11.564230,44.600533
-10.890141,44.634960
-10.896060,43.948059
-11.584280,42.524193
-10.915950,41.868031
-10.939020,39.754841
-11.625340,38.990391
-11.634729,38.270638
-10.947420,39.042080
-10.956241,38.324650
-11.654819,36.815998
-10.975050,36.874901
-11.676579,35.339558
-9.535310,46.730450
-9.544189,45.377357
-9.554180,44.013710
-10.229870,43.294003
-10.249411,41.209553
-9.598830,39.135120
-9.614429,37.704029
-9.622800,36.980938
-10.307070,36.199390
-9.766419,26.974861
-8.872980,46.079548
-8.886470,44.042980
-8.914590,40.585979
-8.934939,38.465240
-8.942300,37.749283
-8.279221,37.071819
-8.328381,32.636311
-8.512000,20.170080
-9.258110,17.188261
-8.545179,18.276651
-8.562790,17.300331
-7.517030,57.326458
-7.597510,38.542007
-7.603790,37.829250
-7.035220,28.062311
-7.823340,20.260260
-7.853680,18.374510
-7.193980,16.505760
-7.922260,14.349131
-6.229970,44.814053
-5.570660,44.831383
-5.573620,44.156040
-6.343810,29.701801
-6.360360,28.114750
-5.694730,27.355759
-6.463810,19.489431
-5.790390,18.616060
-5.854060,13.580111
-4.890040,58.623131
7.519090,54.059830
6.862110,52.757050
7.521310,52.749840
7.522750,52.093571
7.526270,50.777760
7.528320,50.117970
7.533080,48.793777
7.545240,46.122780
7.548790,45.449471
9.611771,112.684425
8.337760,82.126068
9.024040,82.955681
8.319360,80.608528
9.003380,81.419174
8.294340,78.382576
8.950020,76.971771
8.852970,63.909031
8.848320,62.585480
8.846340,61.925560
8.843210,60.608788
8.178770,59.290409
8.840290,58.638969
8.839561,57.327721
8.839800,56.016750
8.178770,54.709591
8.179680,54.054359
8.844629,52.733280
8.846340,52.074440
8.187510,50.766132
8.192241,49.442520
8.858570,48.761497
8.201110,47.444450
8.212100,45.427460
8.872980,46.079548
9.680409,81.479309
9.640520,78.481285
9.606470,75.578064
9.591530,74.156235
10.195410,65.947060
10.191649,65.276474
9.507521,60.616711
9.506209,59.958080
9.504360,58.642559
9.503571,57.328438
9.503571,56.671562
10.208381,46.028690
11.634729,75.729355
10.939020,74.245155
11.616370,74.294556
10.851390,63.291172
11.522840,63.308281
11.519950,62.640579
10.842319,60.634411
10.840870,59.972561
10.838739,58.650600
10.838140,57.990219
10.837831,56.669952
10.838140,56.009781
11.508380,56.669060
11.508719,56.007111
11.510321,54.682430
10.842319,53.365589
11.513189,53.355747
10.846251,52.039352
11.515130,52.691280
11.529660,49.351971
11.537800,48.005421
10.874380,46.679150
11.547339,46.650738
10.879291,46.000340
11.552640,45.969910
10.890141,44.634960
11.564230,44.600533
11.570550,43.911591
11.599569,41.122692
12.870330,62.674339
12.188670,61.321171
12.864861,61.334431
12.184899,59.989189
12.862659,60.665970
12.183519,59.324249
12.859420,59.331360
12.181800,57.995750
12.857619,57.998791
12.857241,57.332897
12.857619,56.001209
12.859420,54.668640
12.860860,54.001659
12.867380,51.996189
12.873569,50.653919
12.200339,50.002319
12.881351,49.305920
12.890480,47.951073
12.895630,47.270622
12.907169,45.902767
12.920290,44.524540
12.942969,42.434452
13.561290,64.719246
13.553121,63.366802
13.546579,62.020100
13.541630,60.677902
13.539701,60.008080
13.537030,58.670300
14.217560,57.335133
14.217899,55.994530
14.218750,55.323971
14.235789,50.611179
14.239930,49.933350
13.582410,46.553432
13.618151,43.087811
14.313399,42.332993
14.902500,57.336349
14.902500,56.663651
14.903790,55.317890
14.905029,54.644527
14.921750,50.587830
14.930850,49.225533
15.626070,48.509083
14.994190,42.985649
15.687409,42.930019
16.071760,25.085390
16.462051,13.271470
16.988960,52.567398
16.299850,51.221359
16.304060,50.537090
16.996450,51.196800
17.000969,50.509529
17.017540,48.437889
17.277039,33.096043
16.737780,26.668690
17.686140,53.234398
18.390610,53.216820
18.397741,51.835831
18.407091,50.449898
17.713009,49.094879
18.412630,49.754650
18.425400,48.358700
18.440441,46.954281
18.448910,46.248367
18.778881,30.422081
18.103281,28.910280
18.128231,28.068060
19.309690,15.506949
18.802740,9.987081
19.804459,57.346962
19.107130,51.810482
19.111700,51.114788
19.831501,50.383713
19.482199,31.096329
20.214230,30.944290
19.506771,30.271980
19.532259,29.438000
20.266739,29.273151
37.674931,23.497171
40.046680,31.706171
40.106552,30.658470
39.293350,27.951239
40.235912,28.510260
40.064857,17.107670
41.134560,16.193861
40.295338,58.322968
40.293289,56.559071
41.824730,35.977093
42.115570,30.711819
42.183670,29.608280
41.269592,27.949701
41.344379,26.814669
42.331421,27.338451
41.423008,25.655989
42.495922,24.972210
41.686092,22.012829
42.779270,21.198320
42.360630,62.955219
42.780029,37.611389
42.829300,36.588593
43.123383,31.262949
43.192360,30.147171
43.265610,29.010561
43.342609,27.852041
44.379910,28.355070
43.510258,25.459429
44.551170,25.931900
44.644268,24.677170
43.601257,24.220680
43.697678,22.949600
44.742928,23.389599
44.847500,22.065760
43.799850,21.642849
45.337589,16.311510
45.667763,66.296906
44.699368,42.967350
44.868168,38.870541
45.087612,34.585037
45.151421,33.475910
45.290222,31.203350
46.462139,30.533861
45.531441,27.630800
46.925793,24.202911
46.039867,21.078190
47.154198,21.425070
47.280251,19.965681
47.304420,35.721901
48.606171,33.931271
47.677643,29.788450
48.941902,28.952631
49.039707,27.638971
49.144199,26.291319
49.374310,23.479311
51.649639,87.079704
50.161552,29.350641
50.262650,28.005840
51.649639,26.920290
-17.790430,42.743481
-17.801910,42.022068
-17.934721,35.318951
-17.953089,34.545250
-18.690590,33.643970
-17.038881,46.347710
-15.632060,47.820587
-15.034940,40.129761
-15.229640,30.257750
-13.546579,62.020100
-14.254721,47.889618
-12.181800,57.995750
-12.296329,39.652702
-12.315889,38.212879
-10.224040,43.982018
6.206820,51.454308
6.208340,50.798000
5.552900,50.149910
5.558380,48.170509
6.216160,48.158150
5.562810,46.841660
6.218570,47.493790
5.565270,46.173992
6.223890,46.158722
6.226810,45.487720
5.570660,44.831383
5.573620,44.156040
5.580050,42.796471
8.104720,109.278786
7.343500,106.451775
7.517640,58.632629
8.302350,79.118324
8.958050,77.698074
8.850491,63.246571
8.844629,61.266720
8.839800,57.983250
8.183670,52.084419
8.208179,46.102173
10.264111,74.199036
9.515380,63.260349
9.504360,55.357441
10.975050,77.125092
11.526120,63.977409
11.517370,61.974102
11.511630,59.980602
11.509359,58.655060
11.508719,57.992889
11.508380,57.330940
10.840870,54.027439
10.851390,50.708828
11.522840,50.691719
11.867220,25.005291
12.217669,47.300819
12.228530,45.937420
12.240880,44.563763
13.576520,47.238487
15.620680,49.195499
15.632060,47.820587
15.003680,42.277439
15.697351,42.218807
16.713451,27.521349
35.145100,36.391560
35.184097,35.477680
36.427258,14.965970
36.984272,35.805412
37.223858,30.957390
40.169540,29.593681
44.416519,14.406549
45.482281,14.725280
46.723457,26.826700
46.291733,18.160389
47.414810,18.451729
