lat@hdr,lon@hdr
-27.114769,101.140144
-26.252590,99.482475
-27.010569,98.755554
-26.189379,98.303566
-26.135830,97.182945
-25.624601,102.742790
-25.539530,101.438835
-25.382439,97.921364
-24.488949,97.582695
-24.499720,96.315575
-24.219980,104.427780
-23.280140,101.292244
-23.167961,100.185936
-23.893370,99.392296
-23.050419,97.868858
-22.152939,110.022125
-22.735329,104.827644
-21.403261,110.924255
-21.333000,109.460625
-21.092371,106.737495
-14.111859,93.842125
-13.357480,116.026489
-13.295119,114.217354
-13.874070,109.779610
-13.090070,108.070145
-13.776751,106.995186
-13.013041,105.422241
-13.623509,102.045746
-12.811590,97.502045
-13.431340,95.685585
-12.491990,112.206940
-12.339499,107.797951
-11.393220,102.649124
-59.789021,68.960556
-57.792740,52.407940
-60.075680,49.330509
-57.971317,45.709949
-58.762600,43.732597
-56.505302,73.028725
-54.892338,72.271111
-56.467808,71.761086
-54.723198,67.277328
-54.651558,64.819870
-54.624107,63.604259
-56.119568,60.121380
-54.568550,59.990547
-54.559719,58.793232
-54.640949,55.181129
-56.104248,54.039707
-54.640713,53.001183
-56.181313,50.103840
-54.686939,47.955368
-54.269661,85.125885
-54.156570,83.647171
-53.242020,66.878746
-51.922688,67.716759
-53.178890,64.521454
-53.153763,63.353310
-51.702049,59.790051
-53.129219,57.563183
-51.550358,57.522190
-52.854271,55.267071
-53.111572,52.969570
-51.724670,53.105118
-53.178890,49.478550
-53.323151,44.727970
-54.153282,30.349480
-54.407459,27.402939
-52.759197,30.056461
-52.142918,93.133865
-49.104259,57.528973
-49.429802,44.722458
-50.693260,42.151119
-49.580868,42.532181
-50.803963,39.801769
-49.548420,40.315090
-50.633221,28.929201
-50.515381,28.060669
-50.610531,23.740839
-49.783230,95.110550
-49.637447,93.522530
-48.307117,92.264915
-49.255650,89.093895
-48.176743,72.117485
-47.942207,65.731995
-46.956169,63.487141
-47.946880,59.586140
-47.977077,58.501167
-48.387341,34.045971
-48.000717,100.688896
-46.298950,97.078300
-47.560230,97.123985
-47.414810,95.548256
-46.039867,92.921814
-46.925793,89.797089
-45.716553,88.884796
-45.621147,87.611649
-45.336372,83.981606
-47.917900,13.432220
-46.504379,15.052140
-45.266373,100.680595
-45.327660,97.698120
-45.076942,94.708595
-44.958771,93.298874
-43.810673,92.384476
-43.792000,91.061615
-43.604019,89.803825
-43.424168,87.331024
-43.217197,83.789154
-43.921528,81.039619
-43.513000,79.149216
-42.732147,77.453255
-42.597240,44.520790
-42.831383,41.451508
-42.762131,40.578529
-42.562950,38.705933
-42.637978,34.624451
-43.709988,98.534485
-42.113930,97.355354
-42.826450,95.911545
-41.686092,91.987175
-42.411530,87.831635
-42.331421,86.661545
-42.125328,83.228516
-42.050808,82.203094
-40.843983,78.632851
-41.449989,75.148026
-40.439251,71.834785
-40.207333,70.306496
-40.157360,45.088051
-41.462242,43.691250
-40.553921,42.041660
-41.473190,24.494280
-41.686092,22.012829
-41.887238,19.415440
-40.642090,91.232559
-39.517540,89.642975
-40.106552,83.341530
-39.989731,81.261925
-38.939503,79.839661
-39.790447,77.274422
-38.755920,77.859634
-39.735977,75.324692
-38.729340,76.003334
-39.566757,73.473236
-39.588463,69.861404
-38.644360,49.761612
-38.801510,47.042770
-38.545540,45.306377
-39.620701,42.058880
-39.658638,39.622448
-38.568512,40.806232
-39.746540,37.696720
-39.884438,34.758770
-40.347450,24.089901
-39.855190,19.754700
-38.673149,89.277306
-37.323032,84.885796
-38.084007,81.408325
-37.163410,81.074036
-37.139492,78.229614
-37.006268,76.308556
-36.726578,72.740364
-36.690792,70.980064
-36.256187,60.549370
-36.565243,59.115940
-36.454960,54.093201
-36.531097,53.311920
-36.941170,48.934010
-37.702560,41.050819
-37.785683,39.238503
-37.925728,38.231010
-38.998302,20.307920
-36.024830,96.106895
-36.508659,86.707184
-36.566799,85.298134
-35.516689,85.244095
