lat@hdr,lon@hdr
55.649902,-18.605999
56.678101,-15.194500
56.991398,-14.056100
57.396400,-12.502399
58.149799,-9.311100
58.756298,-6.354500
58.992798,-5.070000
59.296303,-3.272500
60.035603,2.253500
60.182602,3.697600
55.066299,-21.644201
55.714500,-19.769600
56.455200,-17.445700
58.099503,-11.360100
60.035500,-0.949300
60.257900,0.798600
60.698997,5.228000
60.769897,6.154500
60.904697,8.257800
61.020500,10.812699
56.322098,-19.281000
57.191601,-16.442001
58.767097,-10.286500
59.228600,-8.120999
59.875999,-4.624200
60.254498,-2.203000
60.776501,1.956500
61.390602,10.765800
55.720501,-22.360699
56.379997,-20.466099
57.133602,-18.113901
57.877899,-15.554399
58.317898,-13.907400
58.448902,-13.394700
60.004700,-6.204200
60.847202,-0.749300
60.997101,0.466800
61.581303,6.977400
61.646797,8.102099
56.399002,-21.735100
57.242302,-19.194101
59.269398,-11.764800
60.119801,-7.772000
60.836502,-3.631400
61.441799,0.955600
61.591698,2.383100
56.370197,-23.102200
58.020397,-18.107500
59.274097,-13.512100
61.660000,-0.512800
62.323601,6.791500
62.388702,7.944200
62.500603,10.626801
57.370502,-21.557999
57.911102,-19.909199
58.738400,-17.156801
59.360798,-14.864600
59.974701,-12.367701
60.839703,-8.299601
61.411503,-5.067600
61.645100,-3.554300
62.181000,0.621400
62.332397,2.083300
62.554802,4.644700
-48.226601,-46.973103
-26.421799,-59.246403
-26.355400,-58.541500
-25.671999,-52.951298
-25.453300,-51.539600
-25.282299,-50.508499
-24.928900,-48.518600
-25.738800,-56.375500
-25.529400,-54.703899
-24.083399,-46.162003
-23.817099,-44.835102
-23.573801,-43.657303
-23.379900,-42.741699
-23.015001,-41.071198
-22.864500,-40.401699
-25.670500,-59.377300
-25.539099,-58.045498
-24.268301,-49.216801
-23.984299,-47.688297
-24.194399,-51.041000
-24.253601,-53.916203
-24.030600,-52.438900
-22.769300,-45.516197
-22.623901,-44.797501
-24.288000,-57.162399
-24.121899,-55.802601
-22.701101,-47.173599
-21.395899,-40.885799
-24.167900,-59.641399
-24.098999,-58.950500
-22.627300,-48.865498
-21.303600,-42.265102
-0.990200,-59.968201
0.369400,-52.243500
0.760500,-49.942802
1.251500,-46.927498
-0.356600,-58.559902
0.393600,-54.339199
1.625500,-47.011101
-0.486600,-61.628799
0.529800,-55.778202
0.941200,-53.466400
1.652200,-49.265602
1.901100,-47.716999
-0.537400,-64.320595
-0.345100,-63.135799
0.399000,-58.729298
1.766900,-50.938103
0.334200,-61.390198
0.518300,-60.306499
1.042400,-57.311897
1.697300,-53.635403
0.489900,-62.792103
1.947900,-54.444500
2.357400,-52.082199
1.840400,-57.248802
3.156500,-49.598103
3.400400,-48.047100
0.957900,-64.659996
1.705500,-60.237900
1.957000,-58.803101
2.381300,-56.425900
3.112600,-52.249500
3.396800,-50.527798
1.839500,-61.732002
66.111900,-30.870300
67.309395,-27.114399
68.901794,-20.928701
70.266998,-13.746400
70.870499,-9.485900
71.719894,-0.560800
71.804504,0.780500
72.110001,9.594100
65.401596,-34.202000
66.103004,-32.341698
67.184395,-29.136099
68.181496,-25.722599
70.924599,-12.146700
71.717705,-5.403800
72.173004,0.571700
72.327499,3.666100
72.444496,7.388700
66.055305,-33.878498
67.243500,-30.510300
67.713005,-29.028301
68.126099,-27.639700
68.495605,-26.322300
69.283195,-23.230999
69.559105,-22.039799
71.582901,-10.290299
72.271996,-3.540100
72.455002,-1.038600
65.071602,-37.603397
70.398102,-20.227299
70.753204,-18.399700
71.415199,-14.485900
71.626595,-13.051701
72.243195,-8.069600
72.991798,1.676100
73.132195,5.201100
73.217705,9.506801
73.578705,-62.997402
74.414505,-61.891399
75.143799,-60.826099
76.655800,-58.245399
78.121498,-55.094299
78.774101,-53.405502
80.198601,-48.822502
82.631302,-35.479603
83.056404,-31.666800
83.692101,-24.107000
84.092400,-17.257399
74.550598,-63.237301
79.590096,-53.382401
81.219101,-47.474503
84.430199,-18.851000
75.060699,-64.125900
75.759201,-63.184799
78.912994,-57.459698
80.192001,-54.023399
82.282799,-45.475201
84.319695,-28.037401
85.287994,-4.382700
85.375595,2.833000
85.384300,11.001801
74.386398,-66.451904
78.139595,-61.160400
64.965302,-131.053802
65.835304,-133.212189
67.359406,-137.645599
68.016495,-139.895401
71.467400,-159.190002
71.729805,-161.917999
72.346001,-172.073990
65.151001,-132.813599
65.916595,-134.832809
68.702599,-144.485291
69.346298,-147.541397
71.022202,-158.758392
71.696205,-166.562210
71.846001,-169.171600
64.421005,-132.328796
65.272301,-134.483597
65.952301,-136.381210
66.513901,-138.090103
68.087601,-143.795792
69.555504,-151.068802
70.039604,-154.183197
70.313095,-156.192108
71.544998,-170.808609
71.724495,-178.044296
64.591599,-134.061310
67.274895,-142.391296
67.915695,-144.992203
68.682304,-148.607697
69.505798,-153.377899
70.805695,-164.862091
70.962296,-167.059097
65.048599,-136.672302
67.292900,-144.276901
67.992294,-147.355209
68.872795,-152.036102
69.607895,-157.021500
63.584400,-134.147491
64.408798,-136.291199
65.349304,-139.035492
66.067001,-141.399811
67.266899,-146.070190
68.227798,-150.765701
68.719795,-153.673798
68.992500,-155.492889
70.074799,-165.405701
70.370605,-169.951202
70.436401,-171.307190
70.548805,-174.392410
70.590302,-176.168900
62.725800,-135.860001
63.524403,-137.987000
63.858902,-138.944504
64.433701,-140.697601
65.126396,-143.021896
65.844002,-145.736191
66.413704,-148.176804
66.660904,-149.334000
-57.823498,14.340500
-56.694702,20.255001
-55.244198,26.049799
-54.228203,29.430300
-53.662201,31.137901
-56.515800,19.184200
-55.832001,22.188799
-55.474800,23.616299
-55.203598,24.647299
-53.624397,29.937399
-52.992100,31.786100
-57.090900,13.967600
-54.198700,26.702000
-56.940201,12.403200
-55.009399,22.138601
-54.502300,24.105099
-54.200500,25.206001
-52.948299,29.327599
-53.506500,26.137201
-52.319798,29.898500
-56.559498,9.494201
-55.072598,18.285000
-54.298203,21.642601
-53.798798,23.580500
-53.501602,24.666300
-52.756702,27.201500
-51.656998,30.546099
-56.475700,6.845100
-54.625401,18.465300
-54.446899,19.269100
-54.256500,20.095999
-53.707199,22.330200
-52.811703,25.590399
-51.643600,29.307400
-55.607903,10.797600
25.382801,71.740601
22.635601,89.500900
22.829100,88.511101
24.017601,81.043098
24.229101,79.360695
24.302000,78.751205
21.896900,91.194000
22.827900,86.387901
24.124800,76.953804
24.303900,75.266205
22.726900,84.661400
23.238499,81.121704
23.448399,79.474304
24.088100,73.604996
24.206900,72.301994
21.430500,89.703094
21.639301,88.645500
22.572199,83.142899
22.687300,82.341995
20.653700,91.561699
21.780600,85.719795
21.154701,87.088699
22.514301,77.678200
22.677200,76.242294
22.865301,74.472694
21.291800,83.957901
21.418999,83.117096
22.601900,73.314705
22.790800,71.277000
19.718700,90.488098
19.970800,89.246498
21.377901,80.654594
19.204700,91.091896
19.895500,87.619202
0.345700,68.637901
-2.385800,85.355095
-1.970900,82.492805
-1.740200,80.868095
-0.458800,71.521706
-0.968300,72.404396
-0.215300,67.286995
-3.122800,85.190201
-2.343800,79.687302
-1.938500,76.698395
-3.304800,83.801201
-2.593400,78.703606
-1.945800,73.904099
-1.835000,73.101700
-1.283400,69.287498
-1.211700,68.810295
-0.846200,66.428902
-3.279600,80.903496
-2.488900,75.069000
-1.782600,70.061600
-1.581700,68.723595
-1.416700,67.645500
-3.825900,82.076302
-3.600200,80.448296
-3.301000,78.253105
-3.192900,77.449600
-2.413200,71.749405
-3.398300,76.112206
-3.201900,74.652504
-1.949200,66.167404
-4.506700,81.465195
-3.201900,71.885796
-5.239900,84.014305
33.491802,-59.258602
33.650101,-58.119198
34.056103,-54.599701
31.335901,-71.977104
32.942600,-64.744995
33.362103,-62.488598
33.611500,-61.009899
34.367001,-55.291000
31.970900,-71.004395
32.201702,-70.031700
33.580902,-63.448601
32.058201,-72.266899
32.202297,-71.685501
32.669598,-69.723999
33.625797,-65.271095
34.206100,-62.124001
34.769398,-58.390301
34.879402,-57.524902
34.993603,-56.555099
35.174202,-54.823498
32.563999,-71.830299
32.817699,-70.783905
34.108700,-64.813202
34.270702,-63.959000
34.778999,-61.002098
34.931698,-59.997803
35.673000,-53.465401
32.617901,-73.197495
35.461700,-58.977898
35.570103,-58.147499
35.682102,-57.225098
35.798401,-56.181202
36.045200,-53.533398
32.589397,-74.818901
33.543800,-71.070099
34.792297,-65.342896
35.574600,-60.880199
36.292202,-55.047600
36.354298,-54.358997
33.336201,-73.502304
33.648003,-72.272804
34.788700,-67.301498
34.983498,-66.359695
35.539898,-63.442898
36.101902,-59.932301
36.316200,-58.327297
36.428200,-57.396202
36.485703,-56.886997
33.510498,-74.359795
34.857502,-68.815605
35.473198,-65.883896
35.753201,-64.426399
36.917297,-56.423203
37.099197,-54.501900
37.161602,-53.736702
33.657497,-75.297699
34.219601,-73.168495
58.563000,-65.626205
58.761101,-63.528698
58.949600,-60.983498
53.872402,-89.045105
54.512600,-87.119995
55.238800,-84.745995
57.802601,-73.792305
57.953598,-72.931000
58.797302,-67.020805
59.434097,-58.998398
55.110703,-86.600700
55.961098,-83.709000
56.442200,-81.911995
57.386101,-77.939606
57.923100,-75.317696
59.028202,-68.339195
59.631500,-62.128002
54.515800,-89.736595
55.168198,-87.792801
55.908398,-85.392204
58.599400,-73.834099
58.750900,-72.948799
59.185101,-70.114601
59.671303,-66.100601
60.123501,-60.283802
56.974800,-83.108696
57.270397,-81.970001
57.881397,-79.429596
58.720100,-75.392105
59.971500,-66.918304
60.244102,-64.074501
60.374302,-62.367397
55.508301,-89.426498
56.347603,-86.815704
56.973198,-84.678200
58.118500,-80.208000
59.915199,-70.529305
60.129200,-68.906601
60.409599,-66.429695
60.921600,-59.338497
60.969700,-58.079201
58.093098,-82.054298
58.891502,-78.608505
59.516800,-75.469200
60.133801,-71.757706
60.708401,-67.267395
60.985100,-64.359604
57.237103,-86.753502
60.115601,-74.371704
61.217503,-66.057701
61.488102,-62.738598
61.551003,-61.752598
61.665199,-59.512600
61.713200,-58.223000
56.104702,-91.567101
56.468597,-90.528801
57.075397,-88.696602
58.488102,-83.829399
58.777798,-82.700500
59.157898,-81.132805
59.489998,-79.670502
60.708202,-73.206902
60.934299,-71.705696
61.155502,-70.082298
61.444798,-67.628899
57.110302,-89.952301
61.718502,-167.220901
62.165199,-172.258011
62.343201,-175.201889
56.566402,-145.066589
57.221203,-147.011490
57.739201,-148.679199
58.827499,-152.671402
60.098198,-158.630890
61.027100,-164.665710
61.221703,-166.258392
61.605801,-170.024689
61.732098,-171.550598
56.587902,-146.452698
57.162003,-148.236710
58.008900,-151.165802
58.870399,-154.637009
60.981800,-167.595200
61.484303,-173.400391
61.543800,-174.354111
61.703697,-177.758499
61.745399,-179.138611
56.561100,-147.739899
57.069401,-149.387604
58.743298,-155.951401
59.539402,-160.062790
60.739502,-168.995697
60.865498,-170.332809
60.990601,-171.823303
59.603302,-162.958710
60.801201,-174.560699
60.912800,-176.672089
60.962402,-177.884811
61.005302,-179.232208
55.265400,-146.539703
56.609501,-150.806808
56.983200,-152.157501
58.038403,-156.537491
59.434902,-164.551910
59.562202,-165.505508
59.813103,-167.571289
60.062500,-169.960999
55.270100,-147.879791
56.462498,-151.823700
57.351997,-155.331909
57.972797,-158.210892
58.809002,-162.972504
60.170601,-176.825699
56.295200,-152.789200
57.117100,-156.130508
58.023899,-160.645203
58.765800,-165.430710
59.445103,-171.611710
59.627800,-173.961792
59.850300,-178.073303
59.895100,-179.374710
54.278099,-147.580902
55.148701,-150.280991
56.398003,-154.852402
56.649597,-155.910202
58.145901,-163.846710
58.522602,-166.575500
58.706497,-168.098709
58.890198,-169.795792
54.271099,-148.888199
37.012897,-177.290604
37.260098,-179.216599
