lat@hdr,lon@hdr
37.650867,165.491257
37.669029,165.494339
37.734989,165.509369
37.877781,165.544601
38.176270,165.612350
38.261337,165.632828
38.287090,165.636459
38.291862,165.635849
38.303101,165.638428
38.359142,165.654846
38.437580,165.672989
38.568069,165.703598
38.584747,165.706543
38.599213,165.708633
38.640423,165.718567
38.663280,165.723923
38.665569,165.723587
38.665447,165.722504
38.719563,165.736038
38.769470,165.748306
38.770611,165.747498
38.774742,165.747971
38.782440,165.749451
38.793640,165.751770
38.799999,165.752777
38.804569,165.753357
38.808430,165.753754
38.826981,165.757828
38.848141,165.762543
38.850033,165.762451
38.852448,165.762482
38.854790,165.762482
38.857410,165.762558
38.861080,165.762909
38.879971,165.767090
38.891888,165.769531
38.896942,165.770187
38.904949,165.771622
38.912830,165.773041
38.917572,165.773651
38.921272,165.774002
38.925171,165.774399
38.930260,165.775101
38.937691,165.776398
38.946980,165.778168
38.956013,165.779877
38.964230,165.781357
38.971912,165.782730
38.979668,165.784103
38.987209,165.785431
38.994152,165.786591
39.000942,165.787720
39.007523,165.788803
39.013760,165.789780
39.019650,165.790710
39.025127,165.791489
39.030132,165.792191
39.034653,165.792709
39.038757,165.793167
39.042652,165.793549
39.046539,165.793961
39.050697,165.794418
39.055363,165.795013
39.060619,165.795761
39.066467,165.796661
39.072750,165.797668
39.079227,165.798721
39.085682,165.799759
39.091930,165.800781
39.097893,165.801697
39.103600,165.802551
39.109077,165.803329
39.114380,165.804108
39.119457,165.804779
39.124302,165.805450
39.128887,165.806000
39.133270,165.806519
39.137512,165.807007
39.141727,165.807480
39.146030,165.807968
39.150440,165.808502
39.154907,165.809036
39.159378,165.809570
39.163719,165.810059
39.167862,165.810532
39.171803,165.810928
39.175560,165.811279
39.179222,165.811600
39.182858,165.811951
39.186543,165.812271
39.190300,165.812622
39.194130,165.813004
39.198032,165.813400
39.201942,165.813782
39.205811,165.814163
39.209602,165.814529
39.213272,165.814850
39.216801,165.815170
39.220158,165.815399
39.223370,165.815613
39.226482,165.815811
39.229500,165.815948
39.232372,165.816071
39.235092,165.816147
39.237690,165.816193
39.240250,165.816238
39.242790,165.816269
39.245358,165.816299
39.247959,165.816360
39.250572,165.816406
39.253170,165.816467
39.255737,165.816498
39.258263,165.816528
39.260719,165.816544
39.263138,165.816544
39.265499,165.816528
39.267788,165.816498
39.270042,165.816452
39.272232,165.816391
39.274380,165.816299
39.276501,165.816238
39.278587,165.816147
39.280647,165.816071
39.282669,165.815948
39.284637,165.815826
39.286552,165.815689
39.288387,165.815552
39.290173,165.815369
39.291901,165.815201
39.293602,165.815002
39.295273,165.814789
39.296921,165.814621
39.298588,165.814407
39.300262,165.814209
39.301952,165.814011
39.303650,165.813828
39.305370,165.813629
39.307091,165.813461
39.308807,165.813263
39.310497,165.813080
39.312180,165.812881
39.313820,165.812668
39.315422,165.812439
39.316990,165.812241
39.318527,165.811996
39.320049,165.811752
39.321541,165.811508
39.323009,165.811249
39.324459,165.810989
39.325890,165.810760
39.327312,165.810501
39.328720,165.810211
39.330097,165.809937
39.331482,165.809662
39.332840,165.809372
39.334190,165.809097
39.335529,165.808807
39.336861,165.808517
39.338200,165.808228
39.339520,165.807938
39.340851,165.807648
39.342182,165.807358
39.343502,165.807068
39.344810,165.806778
39.346130,165.806488
39.347427,165.806183
39.348721,165.805893
39.350010,165.805588
39.351280,165.805283
39.352562,165.804977
39.353832,165.804672
39.355087,165.804367
39.356358,165.804062
39.357639,165.803757
39.358910,165.803452
39.360180,165.803146
39.361458,165.802856
39.362740,165.802551
39.364017,165.802261
39.365288,165.801941
39.366550,165.801651
39.367809,165.801331
39.369049,165.801010
39.370277,165.800690
39.371502,165.800369
39.372700,165.800049
39.373898,165.799713
39.375080,165.799393
39.376263,165.799057
39.377430,165.798721
39.378597,165.798401
39.379761,165.798080
39.380920,165.797729
39.382080,165.797394
39.383232,165.797058
39.384380,165.796722
39.385540,165.796387
39.386700,165.796051
39.387859,165.795731
39.389030,165.795380
39.390198,165.795029
39.391373,165.794708
39.392540,165.794388
39.393707,165.794052
39.394871,165.793716
39.396030,165.793381
39.397182,165.793060
39.398319,165.792679
39.399460,165.792358
39.400578,165.792007
39.401688,165.791672
39.402798,165.791321
39.403908,165.790970
39.405018,165.790619
39.406120,165.790268
39.407230,165.789917
39.408340,165.789581
39.409451,165.789230
39.410572,165.788879
39.411690,165.788528
39.412807,165.788193
39.413933,165.787842
39.415039,165.787491
39.416161,165.787140
39.417282,165.786789
39.418392,165.786438
39.419502,165.786087
39.420620,165.785751
39.421722,165.785400
39.422832,165.785049
39.423927,165.784698
39.425037,165.784348
39.426140,165.783997
39.427231,165.783661
39.428329,165.783279
39.429432,165.782928
39.430519,165.782578
39.431610,165.782227
39.432713,165.781891
39.433807,165.781509
39.434910,165.781174
39.436012,165.780823
39.437111,165.780472
39.438210,165.780121
39.439312,165.779770
39.440399,165.779419
39.441490,165.779053
39.442577,165.778702
39.443672,165.778351
39.444748,165.777969
39.445827,165.777634
39.446911,165.777267
39.447990,165.776917
39.449078,165.776581
39.450157,165.776199
39.451252,165.775848
39.452351,165.775497
39.453438,165.775146
39.454540,165.774811
39.455643,165.774429
39.456753,165.774094
39.457848,165.773727
39.458950,165.773392
39.460060,165.773041
77.607658,-131.735901
77.608398,-131.720337
77.609085,-131.705231
77.609772,-131.690231
77.610451,-131.675247
77.611115,-131.660294
77.611778,-131.645447
77.612411,-131.630814
77.613014,-131.616470
77.613594,-131.602432
77.614120,-131.588669
77.614632,-131.575119
77.615135,-131.561737
77.615608,-131.548523
77.616051,-131.535568
77.616455,-131.522919
77.616829,-131.510712
77.617149,-131.498978
77.617409,-131.487701
77.617645,-131.476822
77.617828,-131.466202
77.618004,-131.455750
77.618172,-131.445419
77.618324,-131.435120
77.618484,-131.424927
77.618614,-131.414841
77.618729,-131.404922
77.618820,-131.395233
77.618866,-131.385941
77.618866,-131.377060
77.618851,-131.368439
77.618805,-131.360031
77.618759,-131.351639
77.618706,-131.343292
77.618660,-131.334900
77.618614,-131.326508
77.618546,-131.318161
77.618484,-131.309860
77.618416,-131.301727
77.618324,-131.293732
77.618210,-131.285889
77.618095,-131.278152
77.617966,-131.270523
77.617805,-131.262939
77.617676,-131.255432
77.617516,-131.247971
77.617355,-131.240570
77.617195,-131.233261
77.617004,-131.226059
77.616806,-131.218979
77.616615,-131.212051
77.616394,-131.205261
77.616150,-131.198563
77.615906,-131.192001
77.615639,-131.185516
77.615372,-131.179153
77.615089,-131.172882
77.614799,-131.166687
77.614510,-131.160568
77.614204,-131.154510
77.613892,-131.148499
77.613579,-131.142517
77.613266,-131.136581
77.612946,-131.130661
77.612625,-131.124741
77.612305,-131.118790
77.611984,-131.112900
77.611664,-131.107040
77.611336,-131.101151
77.611015,-131.095322
77.610664,-131.089523
77.610344,-131.083771
77.609985,-131.078033
77.609634,-131.072372
77.609291,-131.066742
77.608925,-131.061188
77.608574,-131.055649
77.608200,-131.050201
77.607819,-131.044769
77.607445,-131.039383
77.607056,-131.034042
77.606674,-131.028748
77.606285,-131.023499
77.605881,-131.018250
77.605484,-131.013077
77.605064,-131.007919
77.604675,-131.002808
77.604256,-130.997711
77.603836,-130.992661
77.603424,-130.987640
77.602989,-130.982651
77.602554,-130.977692
77.602135,-130.972748
77.601715,-130.967819
77.601265,-130.962952
77.600845,-130.958069
77.600395,-130.953217
77.599960,-130.948380
77.599525,-130.943573
77.599075,-130.938766
77.598625,-130.933990
77.598175,-130.929230
77.597725,-130.924469
77.597275,-130.919739
77.596825,-130.915024
77.596375,-130.910309
77.595909,-130.905609
77.595451,-130.900909
77.594986,-130.896271
77.594536,-130.891586
77.594070,-130.886932
77.593605,-130.882309
77.593140,-130.877701
77.592674,-130.873077
77.592209,-130.868469
77.591736,-130.863907
77.591255,-130.859329
77.590790,-130.854782
77.590324,-130.850250
77.589836,-130.845703
77.589355,-130.841171
77.588890,-130.836639
77.588409,-130.832138
77.587929,-130.827637
77.587448,-130.823120
77.586975,-130.818619
77.586494,-130.814133
77.586006,-130.809662
77.585526,-130.805191
77.585045,-130.800720
77.584549,-130.796249
77.584068,-130.791809
77.583580,-130.787369
77.583084,-130.782944
77.582596,-130.778519
77.582115,-130.774109
77.581612,-130.769699
77.581116,-130.765320
77.580635,-130.760941
77.580132,-130.756561
77.579636,-130.752182
77.579140,-130.747803
77.578636,-130.743423
77.578156,-130.739059
77.577644,-130.734680
77.577156,-130.730301
77.576660,-130.725922
77.576164,-130.721542
77.575668,-130.717148
77.575165,-130.712753
77.574684,-130.708359
77.574165,-130.703979
77.573685,-130.699600
77.573181,-130.695221
77.572685,-130.690842
77.572189,-130.686462
77.571686,-130.682098
77.571175,-130.677719
77.570694,-130.673370
77.570175,-130.669006
77.569695,-130.664642
77.569176,-130.660278
77.568680,-130.655899
77.568184,-130.651550
77.567680,-130.647171
77.567184,-130.642792
77.566681,-130.638428
77.566185,-130.634064
77.565674,-130.629700
77.565186,-130.625351
77.564674,-130.621002
77.564156,-130.616669
77.563660,-130.612350
77.563148,-130.608032
