Datetime,Value
200808010000,181.203671
200809010000,182.194171
200810010000,187.785778
200811010000,186.050528
200812010000,200.653456
200901010000,194.604236
200902010000,190.513813
200903010000,190.815444
200904010000,192.112635
200905010000,189.736456
200906010000,180.704706
200907010000,173.324736
200908010000,177.943171
200909010000,187.422171
200910010000,190.592528
200911010000,194.572278
200912010000,195.025956
201001010000,199.383986
201002010000,199.172313
201003010000,190.930194
201004010000,199.884635
201005010000,198.670706
201006010000,190.124706
201007010000,186.281236
201008010000,133.664171
201009010000,127.967171
201010010000,125.629778
201011010000,127.158778
201012010000,126.583206
201101010000,117.934736
201102010000,132.012063
201103010000,120.494694
201104010000,129.343135
201105010000,127.900206
201106010000,128.904456
201107010000,128.318236
201108010000,126.407671
201109010000,127.599421
201110010000,124.789278
201111010000,130.426528
201112010000,124.109206
201202010000,132.162813
201203010000,124.243694
201204010000,111.148135
201205010000,109.538706
201206010000,117.403456
201207010000,110.482736
201208010000,113.947171
201209010000,107.841171
201210010000,111.513278
201211010000,105.515028
201212010000,106.444706
201301010000,104.252236
201302010000,97.042813
201304010000,107.592885
201305010000,112.124206
201306010000,113.963206
201307010000,108.985986
201308010000,111.381171
201309010000,110.149421
201310010000,107.359028
201311010000,107.473778
201312010000,101.477206
201401010000,102.215986
201402010000,101.094813
201403010000,97.907194
201404010000,107.096635
201405010000,109.660956
201406010000,111.196956
201407010000,112.033236
201408010000,111.450171
201409010000,112.823671
201410010000,108.327528
201411010000,104.800278
201412010000,101.703456
201501010000,101.034986
201502010000,103.998563
201503010000,95.034944
201504010000,108.819135
201505010000,108.365956
201506010000,113.699706
