Datetime,Value
200808010000,125.480874
200809010000,123.303446
200810010000,129.899410
200811010000,124.723446
200812010000,132.199481
200901010000,127.827481
200902010000,122.708017
200903010000,128.048767
200904010000,122.528624
200905010000,124.970553
200906010000,122.728017
200907010000,122.590071
200908010000,124.976624
200909010000,124.695446
200910010000,126.442910
200911010000,126.315446
200912010000,123.874481
201001010000,122.564481
201002010000,122.187017
201003010000,123.328017
201004010000,125.923124
201005010000,126.253553
201006010000,124.643517
201007010000,125.118821
201008010000,123.562874
201009010000,121.905696
201010010000,122.642160
201011010000,122.589946
201012010000,126.081731
201101010000,123.568731
201102010000,131.208017
201103010000,127.362017
201104010000,126.567374
201105010000,123.558303
201106010000,122.192267
201107010000,124.001321
201108010000,118.109124
201109010000,120.968196
201110010000,117.808160
201111010000,123.246446
201112010000,121.093731
201201010000,122.578481
201202010000,126.869017
201203010000,124.050517
201204010000,120.509874
201205010000,119.612053
201206010000,119.186767
201207010000,114.290071
201208010000,113.897624
201209010000,113.667946
201210010000,112.136660
201211010000,108.894196
201212010000,111.794481
201301010000,115.242981
201302010000,107.441267
201303010000,110.950767
201304010000,114.330124
201305010000,117.473553
201306010000,119.517767
201307010000,113.941071
201308010000,113.825874
201309010000,115.703446
201310010000,110.557410
201311010000,115.825946
201312010000,108.873481
201401010000,113.981481
201402010000,113.088517
201403010000,112.658017
201404010000,113.461124
201405010000,113.123803
201406010000,114.596017
201407010000,113.944321
201408010000,113.013624
201409010000,112.622446
201410010000,113.379910
201411010000,111.271196
201412010000,108.949231
201501010000,107.102981
201502010000,109.364767
201503010000,106.468517
201504010000,109.546374
201505010000,107.874803
201506010000,110.002267
